"y","x1","x2","x3","x4","x5"
566.52,15.57,2463,472.92,18,4.45
696.82,44.02,2048,1339.75,9.5,6.92
1033.15,20.42,3940,620.25,12.8,4.28
1603.62,18.74,6505,568.33,36.7,3.9
1611.37,49.2,5723,1497.6,35.7,5.5
1613.27,44.92,11520,1365.83,24,4.6
1854.17,55.48,5779,1687,43.3,5.62
2160.55,59.28,5969,1639.92,46.7,5.15
2305.58,94.39,8461,2872.33,78.7,6.18
3503.93,128.02,20106,3655.08,180.5,6.15
3571.89,96,13313,2912,60.9,5.88
3741.4,131.42,10771,3921,103.7,4.88
4026.52,127.21,15543,3865.67,126.8,5.5
10343.81,252.9,36194,7684.1,157.7,7
11732.17,409.2,34703,12446.33,169.4,10.78
15414.94,463.7,39204,14098.4,331.4,7.05
18854.45,510.22,86533,15524,371.6,6.35
